10.04.2020 11.21.21 | INFO       | libraries.log | == Starting Game Prep ==
10.04.2020 11.21.21 | INFO       | libraries.log | == Starting Plane Prep ==
10.04.2020 11.21.21 | INFO       | libraries.log | == Ending Plane Prep ==
10.04.2020 11.21.21 | INFO       | libraries.log | == Starting Plane Prep ==
10.04.2020 11.21.21 | INFO       | libraries.log | == Ending Plane Prep ==
10.04.2020 11.21.21 | INFO       | libraries.log | == Starting Mission Prep ==
10.04.2020 11.21.21 | INFO       | libraries.log | == Ending Mission Prep ==
10.04.2020 11.21.21 | INFO       | libraries.log | The target for today is: Berlin
10.04.2020 11.21.21 | INFO       | libraries.log | Berlin is 1000 miles away
10.04.2020 11.21.21 | INFO       | libraries.log | The bombing target is for: City
10.04.2020 11.21.21 | INFO       | libraries.log | Takeoff weather condition is: Bad
10.04.2020 11.21.21 | INFO       | libraries.log | The bomber is: Tail position
10.04.2020 11.21.21 | INFO       | libraries.log | The bomber is: Middle of the squadron
10.04.2020 11.21.21 | INFO       | libraries.log | The plane is 900 miles away from Berlin
10.04.2020 11.21.21 | INFO       | libraries.log | The plane is 800 miles away from Berlin
10.04.2020 11.21.21 | INFO       | libraries.log | The plane is 700 miles away from Berlin
10.04.2020 11.21.21 | INFO       | libraries.log | The plane is 600 miles away from Berlin
10.04.2020 11.21.21 | INFO       | libraries.log | The plane is 500 miles away from Berlin
10.04.2020 11.21.21 | INFO       | libraries.log | The plane is 400 miles away from Berlin
10.04.2020 11.21.21 | INFO       | libraries.log | The plane is 300 miles away from Berlin
10.04.2020 11.21.21 | INFO       | libraries.log | The plane is 200 miles away from Berlin
10.04.2020 11.21.21 | INFO       | libraries.log | The plane is 100 miles away from Berlin
10.04.2020 11.21.21 | INFO       | libraries.log | The plane is over the target: Berlin
10.04.2020 11.21.21 | INFO       | libraries.log | The plane will trun around after the bombing run
10.04.2020 11.21.21 | INFO       | libraries.log | The plane is 900 miles away from 8th Airfoce
10.04.2020 11.21.21 | INFO       | libraries.log | The plane is 800 miles away from 8th Airfoce
10.04.2020 11.21.21 | INFO       | libraries.log | The plane is 700 miles away from 8th Airfoce
10.04.2020 11.21.21 | INFO       | libraries.log | The plane is 600 miles away from 8th Airfoce
10.04.2020 11.21.21 | INFO       | libraries.log | The plane is 500 miles away from 8th Airfoce
10.04.2020 11.21.21 | INFO       | libraries.log | The plane is 400 miles away from 8th Airfoce
10.04.2020 11.21.21 | INFO       | libraries.log | The plane is 300 miles away from 8th Airfoce
10.04.2020 11.21.21 | INFO       | libraries.log | The plane is 200 miles away from 8th Airfoce
10.04.2020 11.21.21 | INFO       | libraries.log | The plane is 100 miles away from 8th Airfoce
10.04.2020 11.21.21 | INFO       | libraries.log | The plane is over the target: 8th Airfoce
10.04.2020 11.21.21 | INFO       | libraries.log | == Ending Game Prep ==
