10/11/2020 06:16 PM | INFO       | Strike-from-the-skies | asd | The target for today is: Berlin
10/11/2020 06:16 PM | INFO       | Strike-from-the-skies | asd | Berlin is 1000 miles away
10/11/2020 06:16 PM | INFO       | Strike-from-the-skies | asd | The bombing target is for: City
10/11/2020 06:16 PM | INFO       | Strike-from-the-skies | asd | The bomber is: Tail position
10/11/2020 06:16 PM | INFO       | Strike-from-the-skies | asd | The bomber is: Middle of the squadron
10/11/2020 06:16 PM | INFO       | Strike-from-the-skies | asd | The plane is 900 miles away from Berlin
10/11/2020 06:16 PM | INFO       | Strike-from-the-skies | asd | Takeoff weather condition is: Good
10/11/2020 06:16 PM | INFO       | Strike-from-the-skies | asd | Me 109 comes into view 9:00 o'clock Level
10/11/2020 06:16 PM | INFO       | Strike-from-the-skies | asd | Engineer is targeting: Me 109 9:00 o'clock Level
10/11/2020 06:16 PM | INFO       | Strike-from-the-skies | asd | Ball is targeting: Me 109 9:00 o'clock Level
10/11/2020 06:16 PM | INFO       | Strike-from-the-skies | asd | Port is targeting: Me 109 9:00 o'clock Level
10/11/2020 06:16 PM | INFO       | Strike-from-the-skies | asd | Engineer is shooting: Me 109
10/11/2020 06:16 PM | INFO       | Strike-from-the-skies | asd | Engineer shot down: Me 109
10/11/2020 06:16 PM | INFO       | Strike-from-the-skies | asd | Ball is shooting: Me 109
10/11/2020 06:16 PM | INFO       | Strike-from-the-skies | asd | Ball: Missed
10/11/2020 06:16 PM | INFO       | Strike-from-the-skies | asd | Port is shooting: Me 109
10/11/2020 06:16 PM | INFO       | Strike-from-the-skies | asd | Port shot down: Me 109
10/11/2020 06:16 PM | INFO       | Strike-from-the-skies | asd | Flak hits!
10/11/2020 06:16 PM | INFO       | Strike-from-the-skies | asd | Nose was damaged
10/11/2020 06:16 PM | INFO       | Strike-from-the-skies | asd | Pilot was damaged
10/11/2020 06:16 PM | INFO       | Strike-from-the-skies | asd | Starboard was damaged
10/11/2020 06:16 PM | INFO       | Strike-from-the-skies | asd | Starboard was damaged
10/11/2020 06:16 PM | INFO       | Strike-from-the-skies | asd | Port was damaged
